product_key,product_id,product_name,category,sub_category
1,OFF-PA-10000174,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Office Supplies,Paper
2,OFF-BI-10004094,GBC Standard Plastic Binding Systems Combs,Office Supplies,Binders
3,OFF-LA-10003223,Avery 508,Office Supplies,Labels
4,OFF-ST-10002743,SAFCO Boltless Steel Shelving,Office Supplies,Storage
5,OFF-AR-10003478,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies,Art
6,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,Chairs
7,OFF-AR-10001662,Rogers Handheld Barrel Pencil Sharpener,Office Supplies,Art
8,OFF-AR-10002399,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Art
9,OFF-BI-10004632,Ibico Hi-Tech Manual Binding System,Office Supplies,Binders
10,OFF-FA-10001883,"Alliance Super-Size Bands, Assorted Sizes",Office Supplies,Fasteners
11,OFF-PA-10000955,Southworth 25% Cotton Granite Paper & Envelopes,Office Supplies,Paper
12,OFF-PA-10002005,Xerox 225,Office Supplies,Paper
13,TEC-PH-10004539,Wireless Extenders zBoost YX545 SOHO Signal Booster,Technology,Phones
14,TEC-PH-10004977,GE 30524EE4,Technology,Phones
15,FUR-FU-10004864,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Furniture,Furnishings
16,OFF-BI-10003708,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Office Supplies,Binders
17,OFF-AR-10004078,Newell 312,Office Supplies,Art
18,TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,Technology,Accessories
19,FUR-FU-10000965,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Furniture,Furnishings
20,OFF-LA-10004272,Avery 482,Office Supplies,Labels
21,FUR-FU-10000010,"DAX Value U-Channel Document Frames, Easel Back",Furniture,Furnishings
22,FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,Bookcases
23,FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,Furniture,Chairs
24,OFF-AR-10003514,4009 Highlighters by Sanford,Office Supplies,Art
25,OFF-BI-10003476,Avery Metallic Poly Binders,Office Supplies,Binders
26,OFF-BI-10004187,3-ring staple pack,Office Supplies,Binders
27,OFF-EN-10001532,Brown Kraft Recycled Envelopes,Office Supplies,Envelopes
28,OFF-EN-10001990,Staple envelope,Office Supplies,Envelopes
29,OFF-PA-10002947,Xerox 1923,Office Supplies,Paper
30,OFF-ST-10000025,Fellowes Stor/Drawer Steel Plus Storage Drawers,Office Supplies,Storage
31,OFF-ST-10000078,Tennsco 6- and 18-Compartment Lockers,Office Supplies,Storage
32,TEC-AC-10003174,Plantronics S12 Corded Telephone Headset System,Technology,Accessories
33,FUR-BO-10003433,Sauder Cornerstone Collection Library,Furniture,Bookcases
34,TEC-AC-10003628,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories
35,FUR-FU-10001095,DAX Black Cherry Wood-Tone Poster Frame,Furniture,Furnishings
36,OFF-BI-10001575,GBC Linen Binding Covers,Office Supplies,Binders
37,OFF-LA-10001074,Round Specialty Laser Printer Labels,Office Supplies,Labels
38,TEC-PH-10004614,AT&T 841000 Phone,Technology,Phones
39,OFF-AP-10000692,Fellowes Mighty 8 Compact Surge Protector,Office Supplies,Appliances
40,FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases
41,OFF-BI-10003676,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Office Supplies,Binders
42,OFF-EN-10002504,"Tyvek Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes
43,OFF-PA-10000659,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",Office Supplies,Paper
44,FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,Chairs
45,FUR-FU-10002268,Ultra Door Push Plate,Furniture,Furnishings
46,FUR-FU-10002918,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furniture,Furnishings
47,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings
48,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances
49,OFF-AR-10002375,Newell 351,Office Supplies,Art
50,OFF-AR-10003811,Newell 327,Office Supplies,Art
51,OFF-AR-10004456,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Office Supplies,Art
52,OFF-BI-10000605,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Office Supplies,Binders
53,OFF-BI-10003091,GBC DocuBind TL200 Manual Binding Machine,Office Supplies,Binders
54,OFF-BI-10004364,Storex Dura Pro Binders,Office Supplies,Binders
55,OFF-EN-10001539,Staple envelope,Office Supplies,Envelopes
56,OFF-PA-10002893,"Wirebound Service Call Books, 5 1/2"" x 4""",Office Supplies,Paper
57,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,Storage
58,OFF-ST-10003123,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Office Supplies,Storage
59,TEC-PH-10001061,Apple iPhone 5C,Technology,Phones
60,FUR-FU-10001889,Ultra Door Pull Handle,Furniture,Furnishings
61,FUR-FU-10001025,"Eldon Imàge Series Desk Accessories, Clear",Furniture,Furnishings
62,FUR-FU-10002445,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",Furniture,Furnishings
63,FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,Furnishings
64,OFF-PA-10002689,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),Office Supplies,Paper
65,TEC-PH-10001300,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",Technology,Phones
66,OFF-FA-10003467,"Alliance Big Bands Rubber Bands, 12/Pack",Office Supplies,Fasteners
67,OFF-PA-10001804,Xerox 195,Office Supplies,Paper
68,FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Furniture,Bookcases
69,FUR-FU-10001847,Eldon Image Series Black Desk Accessories,Furniture,Furnishings
70,FUR-FU-10004587,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",Furniture,Furnishings
71,OFF-BI-10001758,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Office Supplies,Binders
72,OFF-PA-10000380,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Office Supplies,Paper
73,OFF-PA-10003072,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Office Supplies,Paper
74,OFF-ST-10004337,"SAFCO Commercial Wire Shelving, 72h",Office Supplies,Storage
75,TEC-PH-10002103,Jabra SPEAK 410,Technology,Phones
76,TEC-PH-10004833,Macally Suction Cup Mount,Technology,Phones
77,FUR-TA-10003469,Balt Split Level Computer Training Table,Furniture,Tables
78,OFF-AR-10003179,Dixon Ticonderoga Core-Lock Colored Pencils,Office Supplies,Art
79,OFF-ST-10003692,Recycled Steel Personal File for Hanging File Folders,Office Supplies,Storage
80,OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders
81,OFF-PA-10001204,Xerox 1972,Office Supplies,Paper
82,OFF-ST-10000991,Space Solutions HD Industrial Steel Shelving.,Office Supplies,Storage
83,FUR-BO-10003966,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,Bookcases
84,TEC-AC-10001432,Enermax Aurora Lite Keyboard,Technology,Accessories
85,OFF-BI-10000666,Surelock Post Binders,Office Supplies,Binders
86,OFF-FA-10001843,Staples,Office Supplies,Fasteners
87,TEC-PH-10002890,AT&T 17929 Lendline Telephone,Technology,Phones
88,OFF-BI-10002827,Avery Durable Poly Binders,Office Supplies,Binders
89,OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,Office Supplies,Binders
90,OFF-BI-10004230,GBC Recycled Grain Textured Covers,Office Supplies,Binders
91,OFF-PA-10000350,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",Office Supplies,Paper
92,OFF-BI-10001196,"Avery Flip-Chart Easel Binder, Black",Office Supplies,Binders
93,OFF-LA-10002787,Avery 480,Office Supplies,Labels
94,TEC-PH-10001615,AT&T CL82213,Technology,Phones
95,TEC-PH-10003645,Aastra 57i VoIP phone,Technology,Phones
96,OFF-ST-10001558,Acco Perma 4000 Stacking Storage Drawers,Office Supplies,Storage
97,TEC-AC-10000710,Maxell DVD-RAM Discs,Technology,Accessories
98,FUR-FU-10002111,"Master Caster Door Stop, Large Brown",Furniture,Furnishings
99,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs
100,FUR-FU-10002298,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Furniture,Furnishings
101,FUR-TA-10003715,Hon 2111 Invitation Series Corner Table,Furniture,Tables
102,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders
103,OFF-BI-10004654,VariCap6 Expandable Binder,Office Supplies,Binders
104,OFF-BI-10004728,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Office Supplies,Binders
105,OFF-LA-10004853,Avery 483,Office Supplies,Labels
106,OFF-ST-10002583,Fellowes Neat Ideas Storage Cubes,Office Supplies,Storage
107,FUR-CH-10000225,"Global Geo Office Task Chair, Gray",Furniture,Chairs
108,OFF-AP-10001293,Belkin 8 Outlet Surge Protector,Office Supplies,Appliances
109,OFF-PA-10000466,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Office Supplies,Paper
110,OFF-SU-10000157,Compact Automatic Electric Letter Opener,Office Supplies,Supplies
111,TEC-AC-10000736,Logitech G600 MMO Gaming Mouse,Technology,Accessories
112,OFF-BI-10001031,Pressboard Data Binders by Wilson Jones,Office Supplies,Binders
113,OFF-AP-10001303,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Office Supplies,Appliances
114,OFF-BI-10002012,Wilson Jones Easy Flow II Sheet Lifters,Office Supplies,Binders
115,OFF-AR-10003631,Staples in misc. colors,Office Supplies,Art
116,FUR-FU-10002396,"DAX Copper Panel Document Frame, 5 x 7 Size",Furniture,Furnishings
117,OFF-ST-10000321,Akro Stacking Bins,Office Supplies,Storage
118,FUR-FU-10000221,"Master Caster Door Stop, Brown",Furniture,Furnishings
119,OFF-PA-10003363,Xerox 204,Office Supplies,Paper
120,TEC-AC-10001284,Enermax Briskie RF Wireless Keyboard and Mouse Combo,Technology,Accessories
121,OFF-PA-10001800,Xerox 220,Office Supplies,Paper
122,OFF-BI-10000320,GBC Plastic Binding Combs,Office Supplies,Binders
123,OFF-LA-10004425,Staple-on labels,Office Supplies,Labels
124,OFF-PA-10000069,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",Office Supplies,Paper
125,OFF-AR-10003560,Zebra Zazzle Fluorescent Highlighters,Office Supplies,Art
126,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,Chairs
