sales_key,customer_key,product_key,region_key,date_key,order_id,ship_date,ship_mode,sales,quantity,discount,profit,delivery_days,shipping_speed,profit_margin_pct,estimated_cost,discount_bucket,loss_flag
1,1,1,1,1,US-2022-103800,2022-01-07,Standard Class,16.448,2,0.2,5.551199999999998,4,Medium,33.749999999999986,10.896800000000002,Low,0
2,2,2,2,2,US-2022-112326,2022-01-08,Standard Class,3.539999999999999,2,0.8,-5.487,4,Medium,-155.00000000000006,9.027,High,1
3,2,3,2,2,US-2022-112326,2022-01-08,Standard Class,11.784,3,0.2,4.271699999999999,4,Medium,36.24999999999999,7.5123000000000015,Low,0
4,2,4,2,2,US-2022-112326,2022-01-08,Standard Class,272.736,3,0.2,-64.77480000000001,4,Medium,-23.750000000000004,337.5108,Low,1
5,3,5,3,3,US-2022-141817,2022-01-12,Standard Class,19.536,3,0.2,4.884,7,Slow,25.0,14.652,Low,0
6,4,6,4,4,US-2022-167199,2022-01-10,Standard Class,2573.82,9,0.0,746.4077999999997,4,Medium,28.999999999999982,1827.4122000000004,No Discount,0
7,4,7,4,4,US-2022-167199,2022-01-10,Standard Class,5.48,2,0.0,1.4796000000000005,4,Medium,27.000000000000007,4.0004,No Discount,0
8,5,8,5,4,US-2022-106054,2022-01-07,First Class,12.78,3,0.0,5.2398,1,Fast,41.0,7.5402,No Discount,0
9,4,9,4,4,US-2022-167199,2022-01-10,Standard Class,609.98,2,0.0,274.491,4,Medium,44.99999999999999,335.48900000000003,No Discount,0
10,4,10,4,4,US-2022-167199,2022-01-10,Standard Class,31.12,4,0.0,0.3111999999999995,4,Medium,0.9999999999999984,30.8088,No Discount,0
11,4,11,4,4,US-2022-167199,2022-01-10,Standard Class,6.54,1,0.0,3.0084,4,Medium,46.0,3.5316,No Discount,0
12,6,12,6,4,US-2022-130813,2022-01-08,Second Class,19.44,3,0.0,9.3312,2,Fast,48.00000000000001,10.1088,No Discount,0
13,4,13,4,4,US-2022-167199,2022-01-10,Standard Class,755.96,4,0.0,204.1092,4,Medium,26.999999999999996,551.8508,No Discount,0
14,4,14,4,4,US-2022-167199,2022-01-10,Standard Class,391.98,2,0.0,113.67419999999998,4,Medium,28.999999999999993,278.30580000000003,No Discount,0
15,7,15,7,5,US-2022-105417,2022-01-12,Standard Class,76.72800000000001,3,0.6,-53.70959999999999,5,Medium,-69.99999999999997,130.4376,High,1
16,7,16,7,5,US-2022-105417,2022-01-12,Standard Class,10.429999999999998,7,0.8,-18.252500000000005,5,Medium,-175.00000000000009,28.682500000000005,High,1
17,8,17,8,6,US-2022-135405,2022-01-13,Standard Class,9.344,2,0.2,1.1679999999999997,4,Medium,12.499999999999996,8.176,Low,0
18,8,18,8,6,US-2022-135405,2022-01-13,Standard Class,31.200000000000003,3,0.2,9.749999999999996,4,Medium,31.249999999999982,21.450000000000006,Low,0
19,9,19,9,7,US-2022-149020,2022-01-15,Standard Class,51.94,1,0.0,21.2954,5,Medium,41.0,30.644599999999997,No Discount,0
20,9,20,9,7,US-2022-149020,2022-01-15,Standard Class,2.89,1,0.0,1.3583,5,Medium,47.0,1.5317,No Discount,0
21,10,21,10,8,US-2022-130092,2022-01-14,First Class,9.94,2,0.0,3.0813999999999995,3,Medium,30.999999999999993,6.8586,No Discount,0
22,11,22,11,9,US-2022-157147,2022-01-18,Standard Class,333.99899999999997,3,0.15,3.929400000000008,5,Medium,1.1764705882352966,330.0696,Low,0
23,12,23,12,9,US-2022-109232,2022-01-16,Second Class,545.9399999999999,6,0.0,87.35040000000004,3,Medium,16.000000000000007,458.5895999999999,No Discount,0
24,11,24,11,9,US-2022-157147,2022-01-18,Standard Class,19.9,5,0.0,6.566999999999998,5,Medium,32.99999999999999,13.333,No Discount,0
25,13,25,13,9,US-2022-118192,2022-01-18,Standard Class,3.4380000000000006,2,0.7,-2.5212000000000003,5,Medium,-73.33333333333333,5.959200000000001,High,1
26,14,26,14,9,US-2022-162775,2022-01-15,Second Class,5.64,3,0.0,2.7071999999999994,2,Fast,47.99999999999999,2.9328000000000003,No Discount,0
27,14,27,14,9,US-2022-162775,2022-01-15,Second Class,50.94,3,0.0,25.47,2,Fast,50.0,25.47,No Discount,0
28,14,28,14,9,US-2022-162775,2022-01-15,Second Class,11.36,2,0.0,5.339199999999999,2,Fast,46.99999999999999,6.0208,No Discount,0
29,13,29,13,9,US-2022-118192,2022-01-18,Standard Class,37.408,7,0.2,13.0928,5,Medium,35.0,24.3152,Low,0
30,14,30,14,9,US-2022-162775,2022-01-15,Second Class,572.58,6,0.0,34.354799999999955,2,Fast,5.999999999999991,538.2252000000001,No Discount,0
31,11,31,11,9,US-2022-157147,2022-01-18,Standard Class,1325.85,5,0.0,238.6529999999999,5,Medium,17.999999999999993,1087.197,No Discount,0
32,14,32,14,9,US-2022-162775,2022-01-15,Second Class,646.74,6,0.0,258.696,2,Fast,40.0,388.044,No Discount,0
33,15,33,15,10,US-2022-149524,2022-01-15,First Class,61.96,4,0.5,-53.28560000000001,1,Fast,-86.00000000000001,115.2456,Medium,1
34,16,34,16,11,US-2022-103366,2022-01-17,First Class,149.95,5,0.0,65.97800000000001,2,Fast,44.000000000000014,83.97199999999998,No Discount,0
35,17,35,17,12,US-2022-115791,2022-01-18,Second Class,127.104,6,0.2,28.5984,2,Fast,22.5,98.5056,Low,0
36,17,36,17,12,US-2022-115791,2022-01-18,Second Class,18.588000000000005,2,0.7,-13.6312,2,Fast,-73.33333333333331,32.2192,High,1
37,17,37,17,12,US-2022-115791,2022-01-18,Second Class,30.072000000000003,3,0.2,10.149299999999997,2,Fast,33.749999999999986,19.92270000000001,Low,0
38,17,38,17,12,US-2022-115791,2022-01-18,Second Class,124.2,3,0.4,-31.05000000000001,2,Fast,-25.00000000000001,155.25,Medium,1
39,18,39,18,13,US-2022-123477,2022-01-21,Second Class,64.864,4,0.2,6.486400000000003,3,Medium,10.000000000000004,58.3776,Low,0
40,19,40,19,14,US-2022-146591,2022-01-20,First Class,181.47000000000003,5,0.7,-320.597,1,Fast,-176.66666666666663,502.067,High,1
41,19,41,19,14,US-2022-146591,2022-01-20,First Class,32.34,10,0.7,-23.716,1,Fast,-73.33333333333333,56.056,High,1
42,19,42,19,14,US-2022-146591,2022-01-20,First Class,108.72,5,0.2,36.693,1,Fast,33.75,72.027,Low,0
43,19,43,19,14,US-2022-146591,2022-01-20,First Class,56.064,4,0.2,19.6224,1,Fast,35.0,36.4416,Low,0
44,20,44,20,15,US-2022-147627,2022-01-26,Standard Class,1067.94,3,0.0,224.2673999999999,6,Slow,20.99999999999999,843.6726000000001,No Discount,0
45,21,45,21,15,US-2022-167927,2022-01-26,Standard Class,14.73,3,0.0,4.860899999999999,6,Slow,32.99999999999999,9.8691,No Discount,0
